web-scraper-order,web-scraper-start-url,threads,threads-href,username,text
"1595188589-6010","https://hardforum.com/forums/video-cards.3/","What is up with the used graphics card price market?","https://hardforum.com/threads/what-is-up-with-the-used-graphics-card-price-market.1996980/","Epos7","I was going through some old parts and found a GTX 960 I wasn't using, so I put it up on eBay. I think it sold within two minutes for $85. Blew me away."
"1595188601-6116","https://hardforum.com/forums/video-cards.3/","no display from new card","https://hardforum.com/threads/no-display-from-new-card.1998054/","RazorWind","JMCB said:
			
		
	
	
		
		
			You have more than one PCIE slot on there? Do yourself a favor, install both, on the older card do not put a power cable into it (it should still read and get power, otherwise use a pcie adapter if  you have one), in the other slot install the new card. Go into bios and see if it detects both cards.
		
		Click to expand...
	
Most graphics cards will not function at all without the power cables plugged in, even with power from the motherboard.  There are a few  (GTX 690 being one) that will show a nice friendly message to this effect, but most just don't show anything at all.








	
		
			
				Snakebyt said:
			
		
	
	
		
		
			have pulled and reinstalled the card several times, have reset the cmos via jumper pins twice,  Tested the 6+2 with a voltmeter and all have correct voltages.  Im at a loss
		
		Click to expand...
	
Have you checked to make sure that the graphics card setting in the bios is set to PCI-E, and not onboard, or whatever it's labeled as on this board?  I wouldn't think this would matter with an igpu-less CPU, but it could, maybe.



It is possible that you have a defective card.  I would try to test this card in an otherwise known-good system.  If it works there, the problem is some part of your motherboard/graphics card arrangement.  if it doesn't work in your known-good system, then suspect the graphics card."
"1595188627-6336","https://hardforum.com/forums/video-cards.3/","Gpu has exceeded temperature threshold","https://hardforum.com/threads/gpu-has-exceeded-temperature-threshold.1996940/","princeboy47","Also i noticed recently that gpu does not reach max clock 1100 as usual. Before in metro exodus menu clock was 1100 MHz (max) constantly and now it is below this clock and not constant. It is variating all the time."
"1595188658-6654","https://hardforum.com/forums/video-cards.3/","Who's making moves to get ready for the new release of cards?","https://hardforum.com/threads/whos-making-moves-to-get-ready-for-the-new-release-of-cards.1998625/","Mylex","UltraTaco said:
			
		
	
	
		
		
			Well, I guess it's one of those 'unethical' reasons perhaps. If taco bought new, returned and got all money back, the item returned can no longer be sold as new. Someone had to take monetary loss..



Maybe taco over-thinking..
		
		Click to expand...
	
Don't think it's over thinking, if I know this is my intention I would get the open box card. On the other hand I bought my 2080 from them with a game bundled, they sent out a batch of bad codes(mine included), the fix was to have me and all affected return our cards so they could generate new codes. There was a flood of like new Strix 2080s. I want to say it was either battlefield v or anthem. Both terrible reasons for all those card returns."
"1595188637-6426","https://hardforum.com/forums/video-cards.3/","Intel Larrabee - a prototype","https://hardforum.com/threads/intel-larrabee-a-prototype.1948986/","Red Falcon","Nice find... but that card is miiine!"
"1595188622-6281","https://hardforum.com/forums/video-cards.3/","RGB vs YCbCr444 in Nvidia Control Panel","https://hardforum.com/threads/rgb-vs-ycbcr444-in-nvidia-control-panel.1998222/","Geezus","sirmonkey1985 said:
			
		
	
	
		
		
			the gsync through HDMI on LG OLED TV's seems to be locked down to turing only apparently after looking it up when i read his post.
		
		Click to expand...
	
Yeah, kinda sucks because that was one (but not the main) reason I bought this TV. Doesn't look like its a Pascal limitation but something Nvidia could get to work cause the hardware is capable on both the LG OLED and Pascal cards."
"1595188608-6154","https://hardforum.com/forums/video-cards.3/","What vga to throw in this rig?","https://hardforum.com/threads/what-vga-to-throw-in-this-rig.1997551/","criccio","Cook_1 said:
			
		
	
	
		
		
			Without knowing the rest of your rig a RTX 2060 is a good safe option.
		
		Click to expand...
	
So simple yet so hard for some people. Just do this, OP. You'll notice a huge difference without breaking the bank."
"1595188610-6162","https://hardforum.com/forums/video-cards.3/","Geforce 1660 Super overheating","https://hardforum.com/threads/geforce-1660-super-overheating.1998039/","Chimpee","bikemanI7 said:
			
		
	
	
		
		
			Pre Built  Asus G11CD-K Case  (Kabylake based)  Intel I7 7700,  16gb of ram,   Evga Geforce 1660 Super SC Ultra card ((Previous card Geforce 1050 2GB) )    Well lately when i play Battlefield 4,   The Temp on the card gets dangerously close to the max limit, even over EVGA Precision X1's recommended top temp of 83C,   Seen it as High as 87C.     Wondering if it's even safe to use the Desktop til i figure out how to fix the cooling



Kinda Noob with Hardware still sighs





Plan A

is get PC to local computer shop asap and transfer most of the hardware that will work in new case over to a new more airflow capable Case,   They sell Thermaltake Gaming cases starting at $69.00,  Labor about $100 i guess isn't too bad,  at least then i know it'll be done right and system will work fine hopefully and cool better



Plan B

Find a software solution, and save the money for a future new motherboard, intel processor, and ram, and get new case then.



right now on laptop while Desktop finishes some backups before taking to shop maybe on Tuesday
		
		Click to expand...
	
Technically it is safe to run at that temperate, at worse your GPU will start thermal throttling to downclock to something more manageable. May I ask why you don't choose to transfer the component yourself?"
"1595188633-6378","https://hardforum.com/forums/video-cards.3/","Graphics Card Autopsy - MSI 980 Ti ""Golden Edition""","https://hardforum.com/threads/graphics-card-autopsy-msi-980-ti-golden-edition.1993063/","Starfalcon","That card looks like it got mega-toasted.  Shame too, that was an expensive card back then, look at that before settling on my gigabyte 980 Ti."
"1595188665-6708","https://hardforum.com/forums/video-cards.3/","Guy damages rare collectible graphics card :(","https://hardforum.com/threads/guy-damages-rare-collectible-graphics-card.1957134/","FrgMstr","Gave mine away to HardOCP reader last year."
"1595188658-6665","https://hardforum.com/forums/video-cards.3/","Who's making moves to get ready for the new release of cards?","https://hardforum.com/threads/whos-making-moves-to-get-ready-for-the-new-release-of-cards.1998625/","IndyColtsFan","I’m still using my 1080 Ti and will probably wait for you guys to test a few of the new cards before I bite.  I have $1500 in Amazon rewards sitting in my account and waiting to be used,  but that doesn’t mean I’ll go for the top card either.  I’ll play it by ear to decide and may even elect to stick with my 1080 Ti another generation."
"1595188633-6396","https://hardforum.com/forums/video-cards.3/","Graphics Card Autopsy - MSI 980 Ti ""Golden Edition""","https://hardforum.com/threads/graphics-card-autopsy-msi-980-ti-golden-edition.1993063/","RazorWind","jeremyshaw said:
			
		
	
	
		
		
			6th MOSFET VRM from the bottom?
		
		Click to expand...
	
Yes!  The component in question is a Sinopower SM7320 dual N-type mosfet package.  Two MOSFETs in one package.



In this case, our isopropanol short detection method worked really well; it doesn't always give us such clear results.  In person, there was actually an audible pop and a visible puff of vapor that came off of that.  And yes, I know there's a risk of fire when using isopropanol for that.  We do what we have to.



So, now we know that we need to remove that SM7320.  Off it comes.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356012_mosfet_off.jpg""
		class=""bbImage ""
		style=""""
		alt=""mosfet_off.jpg""
		title=""mosfet_off.jpg"" />





Next, let's check and see if we've cleared our short.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356013_short_cleared.jpg""
		class=""bbImage ""
		style=""""
		alt=""short_cleared.jpg""
		title=""short_cleared.jpg"" />





Yep!  That looks good.  Let's check our removed MOSFET.  Here, the red probe is on the +12V input from the power connector.  The black probe is the output pad, which connects first to the GPU through the choke.  This is definitely in short.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356015_dead_mosfet_big.jpg""
		class=""bbImage ""
		style=""""
		alt=""dead_mosfet_big.jpg""
		title=""dead_mosfet_big.jpg"" />





Now, we need to cannibalize an SM7320 from our dead Golden Edition.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356016_new_mosfet_off.jpg""
		class=""bbImage ""
		style=""""
		alt=""new_mosfet_off.jpg""
		title=""new_mosfet_off.jpg"" />





And solder it on to our patient card.  Flux on...





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356017_flux_on.jpg""
		class=""bbImage ""
		style=""""
		alt=""flux_on.jpg""
		title=""flux_on.jpg"" />





New SM7320 on.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356018_new_mosfet_on.jpg""
		class=""bbImage ""
		style=""""
		alt=""new_mosfet_on.jpg""
		title=""new_mosfet_on.jpg"" />





I also cannibalized the AON7403s and R503 from our donor card, and installed them on our patient.  The lower (upper in the photo) one has had its pads butchered, and will require some additional work, but I don't think it's critical for basic function.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356022_current_balance_on.jpg""
		class=""bbImage ""
		style=""""
		alt=""current_balance_on.jpg""
		title=""current_balance_on.jpg"" />





Next, I installed the heatsink so the GPU won't cook itself.





<img src=""https://hardforum.com/data/attachment-files/2020/06/thumb/356020_DSCF4578.01_14_36_06.Still023.jpg""
		class=""bbImage ""
		style=""""
		alt=""DSCF4578.01_14_36_06.Still023.jpg""
		title=""DSCF4578.01_14_36_06.Still023.jpg"" />"
"1595188582-5954","https://hardforum.com/forums/video-cards.3/","What is causing my GPUs to FRY!?","https://hardforum.com/threads/what-is-causing-my-gpus-to-fry.1997698/","WinMan_x2000","sc5mu93 said:
			
		
	
	
		
		
			outside of the popping issue with the power strip, did you swap video cables? I didnt see it mentioned in the post.



I have had a cable fail in the past, and it was the most frustratingly mundane thing to debug.
		
		Click to expand...
	
Yeah, i forgot to mention that.  Tried HDMI port to HDMI port.  I also tried a Display port to Display port.  Both non functional.  So odd."
"1595188605-6134","https://hardforum.com/forums/video-cards.3/","Understanding a ""streamer"" setup in regards to graphics card setup","https://hardforum.com/threads/understanding-a-streamer-setup-in-regards-to-graphics-card-setup.1998060/","t4keheart","I should have added that I currently use an HDMI switch and a single monitor to switch between each of my computer setups.



I would therefore have one hdmi cable coming from the Elgato output into the hdmi switch to handle the ""gaming pc"" video output, and then I would have another hdmi cable coming from the ""steaming PC's"" gpu to handle video output from that machine.

Then I could continue to switch between machines like I'm currently doing, correct?"
"1595188661-6701","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","exlink","No, we haven't hit the diminishing returns for GPUs. The GTX 1080 Ti just squandered the reason to upgrade for many users for longer than they're used to. I normally upgrade my GPU every 1-2 years, but this 1080 Ti has been trucking along for 3 years without breaking a sweat. Its held up exceptionally well both performance and value wise especially compared to the next generation cards that released at roughly the same price. The best part is I'd guess it still has another 1-2 years of running new games at 1440p 60+ FPS without breaking much of a sweat, especially if you don't care about ray-tracing."
"1595188654-6562","https://hardforum.com/forums/video-cards.3/","Are you going for reference Big Navi/RTX 3xxx or waiting for AIB offers?","https://hardforum.com/threads/are-you-going-for-reference-big-navi-rtx-3xxx-or-waiting-for-aib-offers.1997399/","Nebell","Pretty sure I'm going to wait on MSI Gaming X version of 3080Ti as I have good experience with Gaming X cards."
"1595188633-6411","https://hardforum.com/forums/video-cards.3/","Graphics Card Autopsy - MSI 980 Ti ""Golden Edition""","https://hardforum.com/threads/graphics-card-autopsy-msi-980-ti-golden-edition.1993063/","Auer","RazorWind said:
			
		
	
	
		
		
			I'm ashamed to admit that that had actually not occurred to me.  That's a good idea, though.



Do the Kraken brackets fit the oddball non-reference designs like these MSI cards?  I seem to recall they're mainly meant for reference boards.



I've thought about setting up an X99 water jacket on some really long hoses that I could zip on to the cards really easily, but I don't actually spend that much time putting the heatsink back on.  It's the diagnostics that are hard and time consuming.
		
		Click to expand...
	
It's hit and miss with the Kraken's, but usually they are meant for reference boards unless otherwise specified."
"1595188595-6054","https://hardforum.com/forums/video-cards.3/","DisplayPort to Dual Link DVI adapters for 2560x1440?","https://hardforum.com/threads/displayport-to-dual-link-dvi-adapters-for-2560x1440.1954222/","kyriptic","Just got the cable in and can confirm working. Thanks for the help guys."
"1595188661-6699","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","pippenainteasy","kirbyrj said:
			
		
	
	
		
		
			I don't think you understand the fine wine concept (as in cards get better as they age with driver improvements, not worse).  I'm not even claiming that's happening.  I don't think they optimize drivers for new games on older cards.



Here's a reputable site review at the time of the 2080 launch compared to the 1080Ti.  A whole whopping 1% faster at 1440p AND 4K.



View attachment 255860



Here's a more recent review (2060 super) showing that the 1080Ti is now 11% behind the 2080 and even behind the 2070 Super:

View attachment 255864



You can claim fail, lies, and fuckery all you want, but show me some actual numbers.
		
		Click to expand...
	
In Nvidias defense they've released multiple architectures in the time span that AMD has stagnated and kept polishing same GCN turd. Most people don't stay at the same company for a long time and I doubt there's a whole lot of institutional knowledge still around to tweak older architectures. Its unlikely malice and more likely just lack of competence."
"1595188665-6710","https://hardforum.com/forums/video-cards.3/","Guy damages rare collectible graphics card :(","https://hardforum.com/threads/guy-damages-rare-collectible-graphics-card.1957134/","M76","Most pointless video anyone attempted to make me watch in my life. And some people have tried to make me watch cat videos."
"1595188603-6125","https://hardforum.com/forums/video-cards.3/","Need a bit of help re: multi-monitor","https://hardforum.com/threads/need-a-bit-of-help-re-multi-monitor.1998066/","Scream And Fly","This is kind of a noobish question but here goes:



I don't game much these days and mainly use my computer for photo/video work and have always had dual monitors. My old GTX 660 needs replacing and I see that no new video cards use dual-DVI output connectors anymore. For a new card, I assume I would need to connect monitor 1 to the DVI connector, and monitor 2 to a DisplayPort connector, right?   My question here is, will using different ports for each monitor affect the color calibration I have with software and/or the monitors?   I don't know much about DisplayPort but it was my understanding that it's backward compatible with DVI, however I am not positive.



I'd really appreciate any help with that. Thanks everyone."
"1595188646-6517","https://hardforum.com/forums/video-cards.3/","What low profile video card will fit Dell Optiplex SFF 3010 (Dells specifies AMD Radeon R5 240 1gb but I want something better.)","https://hardforum.com/threads/what-low-profile-video-card-will-fit-dell-optiplex-sff-3010-dells-specifies-amd-radeon-r5-240-1gb-but-i-want-something-better.1998848/","cybereality","I have a GT 1030 I'm not using. How about $40 shipped in the US? PM me if you're interested."
"1595188637-6435","https://hardforum.com/forums/video-cards.3/","Intel Larrabee - a prototype","https://hardforum.com/threads/intel-larrabee-a-prototype.1948986/","Red Falcon","erek said:
			
		
	
	
		
		
			You're bidding too?  



https://courses.cs.washington.edu/courses/cse591n/08au/Papers/larrabee_manycore.pdf
		
		Click to expand...
	
Larrabee was the most sought-after vaporware GPU from 2006-2009... how could I not want to obtain such a rare engineering sample of what would eventually become the Xeon Phi...!

For historic purposes and preservation of such rare hardware and equipment is what matters to me, almost like the Brotherhood of Steel with the way they preserve technology, only less mean about it. 



It's weird to think that in a few years, it will be over 15 years old and will be considered ""retro"" as well; that makes me feel old.

Once it has arrived, I will definitely share all of my findings on it and post pictures, I promise!"
"1595188633-6407","https://hardforum.com/forums/video-cards.3/","Graphics Card Autopsy - MSI 980 Ti ""Golden Edition""","https://hardforum.com/threads/graphics-card-autopsy-msi-980-ti-golden-edition.1993063/","auntjemima","This thread is amazing,"
"1595188620-6262","https://hardforum.com/forums/video-cards.3/","XFX rx 5700 8g gives problem it reboot after opening games","https://hardforum.com/threads/xfx-rx-5700-8g-gives-problem-it-reboot-after-opening-games.1998293/","kirbyrj","What about the 20.5.1 drivers"
"1595188650-6532","https://hardforum.com/forums/video-cards.3/","Newbie graphics card question  GTX 1070","https://hardforum.com/threads/newbie-graphics-card-question-gtx-1070.1998008/","defaultluser","Chimpee said:
			
		
	
	
		
		
			I think it will help if you gives us a budget, but if it is for productivity, a laptop Ryzen 4800H will helped a lot as you get 8 cores 16 threads and pair it with a AMD 5500M or Nvidia 1660Ti or RTX 2060, you will have a decent gaming laptop. You will probably spend around $1,100 to $1,200.
		
		Click to expand...
	


The 5500  and 1660 Ti are the exact same performance as a 1070.



If you want better GPU performance in your laptop, maybe it's time you give desktop a try?  Then it's pretty easy to buy a beefy system, and then upgrade the GPU."
"1595188658-6638","https://hardforum.com/forums/video-cards.3/","Who's making moves to get ready for the new release of cards?","https://hardforum.com/threads/whos-making-moves-to-get-ready-for-the-new-release-of-cards.1998625/","Aspendancer","HockeyJon said:
			
		
	
	
		
		
			Not doing anything, but I also keep my computers for a few generations and my hardware by then is almost worthless anyway, so...
		
		Click to expand...
	
This"
"1595188591-6032","https://hardforum.com/forums/video-cards.3/","GTX 780 Reference - Upgrading VBIOS with other manufacturer's VBIOS?","https://hardforum.com/threads/gtx-780-reference-upgrading-vbios-with-other-manufacturers-vbios.1997835/","Smoblikat","Theoretically it should be fine, ive flashed different vendors BIOS on plenty of cards (reference cards) without issue. I think nvflash has switches to override the warnings."
"1595188595-6071","https://hardforum.com/forums/video-cards.3/","DisplayPort to Dual Link DVI adapters for 2560x1440?","https://hardforum.com/threads/displayport-to-dual-link-dvi-adapters-for-2560x1440.1954222/","zetachi","Bumping this old thread as i find myself in the same position. Want to update to a 5700x but its hdmi/dp output to my Xstar which is DVI-d only 1440P 60hz.






	
		
			
				kyriptic said:
			
		
	
	
		
		
			From reading reviews it does seem hit or miss. But I can confirm the one I mentioned does 2560x1440 at 60hz for now lol. Does take a few extra seconds for input to show up
		
		Click to expand...
	
Do you or did you use this for gaming? any drawbacks?



Really don't have the cash right now for a new monitor and card after upgrading my rig to Ryzen.

Thanks"
"1595188654-6590","https://hardforum.com/forums/video-cards.3/","Are you going for reference Big Navi/RTX 3xxx or waiting for AIB offers?","https://hardforum.com/threads/are-you-going-for-reference-big-navi-rtx-3xxx-or-waiting-for-aib-offers.1997399/","madpistol","Which ever supports HDMI 2.1 first. Getting tired of HDMI 2.0b's limitations on my LG CX.



Don't care if it's AIB or reference."
"1595188661-6694","https://hardforum.com/forums/video-cards.3/","GPU - diminishing returns reached","https://hardforum.com/threads/gpu-diminishing-returns-reached.1998052/","Factum","kirbyrj said:
			
		
	
	
		
		
			Here's a casual observation.  At launch, the 1080Ti was essentially equal to the 2080 which was disappointing at best (I cancelled my 2080 pre-order when I saw reviews).  Now, a 1080Ti can barely keep up with a 2070.  Why is that?  Nvidia wants you to buy a 2070 instead of a used 1080Ti and isn't putting in the effort to optimize for Pascal cards.
		
		Click to expand...
	
Stop the lies...HardOCP even did an article about how that was a lie.

Only ones still trying to use that lie are die-hard AMD fannys.

I even think Kyle & Co debunked the ""Fine Wine"".



More fails from you?"
"1595188633-6389","https://hardforum.com/forums/video-cards.3/","Graphics Card Autopsy - MSI 980 Ti ""Golden Edition""","https://hardforum.com/threads/graphics-card-autopsy-msi-980-ti-golden-edition.1993063/","RazorWind","RazorWind said:
			
		
	
	
		
		
			Ok.  I'll send you a PM in a minute.
		
		Click to expand...
	
Never mind, it won't let me send you a PM since you haven't been around long enough.



Send me an email at aaron@aaronaverett.net with your contact information, and I'll get back to you that way."
"1595188618-6223","https://hardforum.com/forums/video-cards.3/","Graphics Card Necromancy - EVGA 980 Ti Classified","https://hardforum.com/threads/graphics-card-necromancy-evga-980-ti-classified.1996758/","balintbalint","RazorWind said:
			
		
	
	
		
		
			So, after getting my butt kicked by Solan's MSI card all day last sunday, I pulled this card out and had another look at it.  We've got a couple of suspiciously low resistance readings on a couple of its rails, and I'm struggling to figure out if they're just quirks of this card (the Kingpin version has similarly low resistance on those rails by design) or if they're indicative of a short.



I know it's a long shot, but would anyone happen to have a working one of these 980 Ti Classified cards?  If so, would you be willing to take some measurements on it for me?



Specifically, I need to know what the resistance on a functional card is from the memory rail and the 3.3V rail.  Both can be measured without disassembling the card at the Probe-it connector.
		
		Click to expand...
	
I don't know, if it helps, but I have two  ""Gigabyte GTX 980 Ti G1 Gaming"" with different memory chips, and i measured both of them. One comes with Hynix memory, and has 62 ohms on the memory rail, the other one with Samsung chips, has only 15 ohms on the memory rail. So, i think, 10 ohms could be possible."
"1595188631-6360","https://hardforum.com/forums/video-cards.3/","Is this fast enough for Fortnite ?","https://hardforum.com/threads/is-this-fast-enough-for-fortnite.1998348/","crazycrave","Eshelmen said:
			
		
	
	
		
		
			Put everything on low except for view distance and textures on epic and yes, should be plenty fast for them.



That's how the pros do it.
		
		Click to expand...
	
That's what I needed to know ! thanks"
"1595188665-6737","https://hardforum.com/forums/video-cards.3/","Guy damages rare collectible graphics card :(","https://hardforum.com/threads/guy-damages-rare-collectible-graphics-card.1957134/","trasixes","The 5800 is rare? How about the 5900, 5900 XT, and 5950? I have those 3 in storage haha."
"1595188601-6097","https://hardforum.com/forums/video-cards.3/","no display from new card","https://hardforum.com/threads/no-display-from-new-card.1998054/","Snakebyt","the card has 3 display ports, and only 1 HDMI, monitor and cord are good as tested with his Xbox via HDMI"
