web-scraper-order,web-scraper-start-url,thread_link,thread_link-href,username,text
"1595187745-4335","https://hardforum.com/forums/intel-processors.5/","1366 x58 Xeon Enthusiast overclocks club","https://hardforum.com/threads/1366-x58-xeon-enthusiast-overclocks-club.1820772/","Araxie","primetime said:
			
		
	
	
		
		
			then open task manager and lock the core affinity to the physical cores, in the OP's case Cores 0,1,2,8,9, and 10.



i never heard of doing this before....what does this achieve?



was a little warmer than usual today and without custom water cooling i do the next best thing:





	
	
		
		


	


	
		
			
		
		


<img src=""http://**SNIP**"" data-url=""http://**SNIP**"" class=""bbImage"" data-zoom-target=""1""  style="""" />


	


		
		Click to expand...
	
it make IBT run without hyperthreading, processing only the true cores, making it more stressful and even making the processor to have better performance. it was discovered long time ago with i5 scoring better speed in IBT due to the way IBT process each core."
"1595187785-4680","https://hardforum.com/forums/intel-processors.5/","Can anybody get me up to speed on the state of the CPU game right now?","https://hardforum.com/threads/can-anybody-get-me-up-to-speed-on-the-state-of-the-cpu-game-right-now.1993202/","t4keheart","Dan_D said:
			
		
	
	
		
		
			I don't agree with this at all. Frankly, I've tested lower end hardware and the statement is simply incorrect. At 1920x1080, you'd be able to make a fair case for some lower end hardware if your satisfied with medium settings in more modern games. That's just not how a lot of us roll here. This isn't oft|OCP. I've got a machine here with a Ryzen 7 2700X w/GTX 980 Ti and at 2560x1600, it's not able to maintain 144FPS (for 144Hz G-Sync) in Destiny 2 at maximum settings. Destiny 2 is actually fairly well optimized and runs very well given how good it looks. That machine can do 80-90FPS most of the time, even hitting 110FPS or so once in awhile but it does drop down to the 45-50FPS range quite often.



At 3440x1440 or 3840x2160, you simply need more power. I've got an RTX 2080 Super and an RTX 2080 Ti here and the latter is what I'd consider the bare minimum for a good 4K gaming experience. Even at 3440x1440, that would still generally be the case in a lot of games. At 1920x1080, the case for more powerful video cards comes down to higher frame rates for higher refresh rate monitors. These things all make a huge difference. At 1920x1080, the 2080 Super delivers a fantastic experience and can even push really high FPS. But crank up the settings and resolution and that 2080 Super starts to falter.



I've done the testing. I've reviewed lower end processors with higher end graphics cards and they do not get it done once you start cranking up the eye candy in more demanding games. It's the same thing with the video cards. For me, medium settings are a no go. I want maxed visuals at a minimum of 120FPS if I can get it. This cannot be achieved in more demanding games at decent resolution. For me, 1920x1080 is crap. Anything beyond a 24"" monitor and 1920x1080 looks absolutely terrible. An immersive experience demands a larger display as far as I'm concerned. That means higher resolution. Games are becoming increasingly multi-threaded. That means, there are good reasons to go beyond an i5 for gaming.
		
		Click to expand...
	
I'm well aware of how 'most people roll here'... i've been on/around this forum since probably 2004 or so... took a hiatus from caring about pc hardware for about 10 years and welp, here i am.

Anyways you said it in your last paragraph... I mentioned a few times that I'm not talking about max settings... and that everything I throw at my machine runs 'fine' at med-high settings. Clearly we have a divide in our opinions on what actually matters. If I can play the game and it looks alright, that's fine with me. I'm not looking at frame-rates or shadow quality or any of that. I've had $2500 builds, it's just not worth it to me anymore. I don't think you really read or understood what I was saying... of course there are good reasons to get high end stuff if you want the best gaming experience...



All I meant to say is that these days, things will run a lot smoother on just about anything you can buy new (hardware wise), a lot better than it used to in the past, in my opinion. If my dead grandmother's dell can run a new game without any lag... that's sayin' something"
"1595187741-4306","https://hardforum.com/forums/intel-processors.5/","Any still running an overclocked i7 5820k? (haswell-E)","https://hardforum.com/threads/any-still-running-an-overclocked-i7-5820k-haswell-e.1953713/","III_Slyflyer_III","Still running my 5930K @ 4.5Ghz (1.33vCore, 1.8 Input, +0.15 SA), I can still hit 4.6 ~ 4.7Ghz, but it requires 1.37 vCore or more for gaming stability, which also pumps up temps on my H100i.  Stable and cool for gaming, but will not pass true stability testing at those speeds sadly.  Pretty sure 4.5Ghz was my ""wall"".  Was never able to overclock the Cache past it's stock of 3.5Ghz though even with added voltage.



Running the 125 Strap as I have my 16GB Quad channel DDR4 running at 2800Mhz at 14-14-14-28 @ 1T at 1.29V.  Still using my AsRock X99 OC Formula, what an amazing motherboard this has been over the years and when I was using SLI on 1080's before I snagged a 2080Ti, SLI ran great at full 16X bandwidth.



I have been tempted to upgrade as of late, but beyond ""benchmarks"", I'm not sure I would see a huge improvement yet in actual gaming at 1440P or 4K.  I actually bench the same in games as my buddy with a 7980XE at 4.4Ghz who also has a 2080Ti.



Probably one of the best and longest lasting systems I have ever built and hoping it hangs on for a little longer!    Been running this way since it released in 2015!"
"1595187791-4777","https://hardforum.com/forums/intel-processors.5/","Core i7-860 with P55 chipset 32GB RAM support","https://hardforum.com/threads/core-i7-860-with-p55-chipset-32gb-ram-support.1845468/","zorobabel","There are few things more satisfying than necroposting, so here it goes:

I just upgraded an i7-860/GA-P55-UD4P v1.0 rig to 32GB RAM, using 4 sticks of Crucial Ballistix Sport."
"1595187804-4949","https://hardforum.com/forums/intel-processors.5/","No excitement about intel's latest offering??","https://hardforum.com/threads/no-excitement-about-intels-latest-offering.1996595/","Keljian","I have a 9900k under a d15, even with a lowered (voltage) offset when running all cores at 5ghz with AVX offset set to zero, temps hit low 90s, no throttling, but I wouldn't leave it like that. I doubt better cooling would help much (I have a lot of case airflow). I have settled for an avx offset of 2.



Single core/dual core speeds really don't matter for much except for desktop responsiveness (ENABLE Speedshift/HWP on your machines!)"
"1595187728-4147","https://hardforum.com/forums/intel-processors.5/","Intel Plans To Battle AMD Ryzen 4000 In 2020 With Mass of Hyper-Threaded Processors Including 5.3GHz","https://hardforum.com/threads/intel-plans-to-battle-amd-ryzen-4000-in-2020-with-mass-of-hyper-threaded-processors-including-5-3ghz.1991154/","MMitch","Mega6 said:
			
		
	
	
		
		
			It really took AMD to get them there - dragging Intel, kicking and screaming the whole way.
		
		Click to expand...
	
Ahah just missed a mom dragging their kids to the clothe store or whatever picture"
"1595187739-4260","https://hardforum.com/forums/intel-processors.5/","Intel's 9th Generation Core Family - Coffee Lake (Refresh)","https://hardforum.com/threads/intels-9th-generation-core-family-coffee-lake-refresh.1963540/","legcramp","craigdt said:
			
		
	
	
		
		
			What an odd post. 



The 8700k is a beast.
		
		Click to expand...
	
Yup... the 8700K came out before the 2700x.. so..."
"1595187802-4900","https://hardforum.com/forums/intel-processors.5/","Core i9 10980Xe","https://hardforum.com/threads/core-i9-10980xe.1997871/","lopoetve","Dan_D said:
			
		
	
	
		
		
			I've been getting the same notification since they first put the product on their website. Availability of the Core i9-10980XE is a joke.
		
		Click to expand...
	
They actually pulled it totally from the site now."
"1595187741-4270","https://hardforum.com/forums/intel-processors.5/","Any still running an overclocked i7 5820k? (haswell-E)","https://hardforum.com/threads/any-still-running-an-overclocked-i7-5820k-haswell-e.1953713/","Dan_D","I'm still running Haswell-E, but not a 5820K. However, as I recall those CPU's really didn't overclock any differently than the 5960X's, you just got fewer cores with them at the same settings. I've got two 5960X's. One runs 4.4GHz at 1.28v, the other will do 4.5GHz @ 1.35v. If you are already at 4.5GHz, I don't think you are likely to see more."
"1595187754-4438","https://hardforum.com/forums/intel-processors.5/","Jeez 10900k really?","https://hardforum.com/threads/jeez-10900k-really.1996938/","Nightfire","Falkentyne said:
			
		
	
	
		
		
			Yes, the ES chip can do 5.3 ghz all cores at around 1.310v-1.320v load or something.  But I'm having some weird issue where it seems (at least from a few quick tests) that using a cache ratio of x50 makes the system MORE stable than a cache ratio of x49!  I was getting CPU Cache L0 errors in Cinebench R20 at x53/x49 at 1.305v load.  ES CPU bug?  Or am I just cursed?  idk...Maybe everything's going to hell because the load temps are above 90C...and we don't talk about fight club when your load temps are above 90C!  But when I set cache to x50...it was stable? What...



My retail chip seems to need absurd volts for 5.3 all cores (like 1.4v at full load), but the 4.7, 4.8, 4.9 and 5 ghz voltages seem to be exactly the same load voltage requirement as my ES.

basically, the retail chip falls off at 5.2 ghz, and falls off HARD at 5.3 ghz.
		
		Click to expand...
	
Interesting.  Perhaps your retail chip was a 'C' batch.

https://www.techpowerup.com/266741/msi-shares-fascinating-insights-into-comet-lake-binning"
"1595187804-4919","https://hardforum.com/forums/intel-processors.5/","No excitement about intel's latest offering??","https://hardforum.com/threads/no-excitement-about-intels-latest-offering.1996595/","Digital Viper-X-","Ready4Dis said:
			
		
	
	
		
		
			Not really, from my reading there are more excited about the 3300x than Intel's next chip.  It's expensive, burns power like crazy, and still falls short on many things.  Yes, it can give you a few more FPS at low resolutions, if that's your thing sure.

Over 90C with liquid cooling.. at 4.8ghz

https://www.google.com/amp/s/www.tw...at-over-90c-even-with-liquid-cooling/amp.html

And others saying similar

https://www.google.com/amp/s/www.tomshardware.com/amp/news/intel-core-i9-10900k-stress-test



So unless you spend some serious coin on the cooling good luck maintaining boost.  It just doesn't have a lot going for it.  Still gets beat by 3900x in threaded loads, still slightly out in front in low resolution gaming, use a crap ton of power to do it.  Just isn't a ton to get a excited about.  Hopefully we will see some real benchmarks but I haven't seen to much reason to be hopeful.



Edit.  You said your struggling to maintain 4.8... so does this chip with a 240mm radiator at over 90C.  Unless you're really hitting a wall in something specific, your not missing much.
		
		Click to expand...
	
I'm using a 280MM AIO ATM, I didn't realize it was so bad :X. I may just look and holding off for Zen 3, or shelling out for a 3900x then . planning on Doing a full WC setup for the next upgrade, along with GPU.



Also, not sure why it's struggling now, Might need to delid it again and re-apply the liquid metal."
"1595187728-4166","https://hardforum.com/forums/intel-processors.5/","Intel Plans To Battle AMD Ryzen 4000 In 2020 With Mass of Hyper-Threaded Processors Including 5.3GHz","https://hardforum.com/threads/intel-plans-to-battle-amd-ryzen-4000-in-2020-with-mass-of-hyper-threaded-processors-including-5-3ghz.1991154/","IdiotInCharge","Hagrid said:
			
		
	
	
		
		
			If I read it right, he said ""next gen"", not last gen.
		
		Click to expand...
	
I didn't misread -- PCIe 2.0 speeds for SSDs still exceed what is actually useful on the desktop, and PCIe 3.0 still isn't fully utilized by GPUs.



PCIe 4.0 is fairly useless, outside of being more expensive and a nice bullet point."
"1595187800-4876","https://hardforum.com/forums/intel-processors.5/","I actually have a 10900k on the way!","https://hardforum.com/threads/i-actually-have-a-10900k-on-the-way.1996645/","newls1","yeah, sorry, build is amazing.  I've been involved with this build over on overclock.net.  shamino helping us with custom bios'es to aide in fixing our issues with 4x8gb b-die clocking and board is really getting dialed in with his custom bioses.  go read up on the threads over there for all the details..  amazing information will be had if you are planning on clocking 4x8gb dimms over 4000speeds"
"1595187741-4269","https://hardforum.com/forums/intel-processors.5/","Any still running an overclocked i7 5820k? (haswell-E)","https://hardforum.com/threads/any-still-running-an-overclocked-i7-5820k-haswell-e.1953713/","GotNoRice","Are you really only running 1.150 vcore?



I'm running my 5820k @ 4.5Ghz using 1.375v.  Using my EVGA X99 FTW motherboard.  I am running a Corsair H100i GTX with 4 75CFM+ fans in push-pull.  Even with that it begins to run a bit hot with anything that can max all 6 cores.  I have been running this since 2015 also.



General rules I've always heard is to have good cooling if you go over 1.3v, and especially over 1.35v.  Never go over 1.4v no matter what."
"1595187758-4508","https://hardforum.com/forums/intel-processors.5/","10900k can't reach 5.3","https://hardforum.com/threads/10900k-cant-reach-5-3.1997566/","andsk8","andsk8 said:
			
		
	
	
		
		
			Hi, I just build my system with Intel 10900k. Coupled with Asus STRIX Z490 E and Corsair Vengeance Pro RGB 3600. Cpu cooler is Corsair h150i 360 mm.

Ive installed everything, the system is working. I have a score of 6025 in Cinebench 20.

But I have a problem.

With Open Hardware Monitor and CPU-Z, I see the cpu goes up to 4900mhz in all cores, which is totally fine. I see some random cores go to up to 5.1, when my computer is started.

My temps are around 34C on idle and 72C in benchmarking.

I never see 5.3 as advised on Intel. No mater what option I change, I never reach 5.3. My temps are ok, so its not about that. I wonder if I'm missing some configuration on the BIOS. I have multi core enhancement to auto, pretty much everything in auto, like turbo boos, and avx.

I understand this feature should work by itself without messing around with bios settings.

Have anyone had the same problem?

Thanks
		
		Click to expand...
	
UPDATE:



It wasn't the C-STATE. The was just a combination of factors that made me believe it was that.



The problem is Corsair iCUE software.



With everything on default, excepto for XMP Profile I was able to find the issue. When the Corsair software is running, it uses 5% of cpu, that make believe Windows that the cpu is not in lazy mode, as soon as you exit the soft, PUM, everything works.



I was reading on the net, it does the same on 9900k, but as far as I found, not on all motherboards.



Anyway, as for the momento i have Corisar enabled becuase i need to turn of the lights, but looks like theres something wrong with that soft."
"1595187791-4765","https://hardforum.com/forums/intel-processors.5/","Core i7-860 with P55 chipset 32GB RAM support","https://hardforum.com/threads/core-i7-860-with-p55-chipset-32gb-ram-support.1845468/","FLECOM","your servers should be running xeons and ecc, then it would not be an issue"
"1595187785-4663","https://hardforum.com/forums/intel-processors.5/","Can anybody get me up to speed on the state of the CPU game right now?","https://hardforum.com/threads/can-anybody-get-me-up-to-speed-on-the-state-of-the-cpu-game-right-now.1993202/","Jamie Marsala","KazeoHin said:
			
		
	
	
		
		
			AMD has the most expensive chips now with Threadripper. In most games the MUCH cheaper 9900k will have faster average FPS, but there have been some instances where the TR chips actually improve Min and 1% FPS. It really depends.
		
		Click to expand...
	
I would not exactly compare a ThreadRipper to any normal desktop Intel CPU.  I mean they are for a totally different purpose and gaming is not what they were designed for."
"1595187743-4312","https://hardforum.com/forums/intel-processors.5/","Core i3-8100T vs Core i3-8100","https://hardforum.com/threads/core-i3-8100t-vs-core-i3-8100.1958599/","Ranulfo","The oem tray T model is $13 or so more expensive on average currently. I'd double check to see how much power the 8100 uses at idle. Unless heat matters that much to you (say its in a small case) or power cost is that much, might not be worth the extra money."
"1595187791-4772","https://hardforum.com/forums/intel-processors.5/","Core i7-860 with P55 chipset 32GB RAM support","https://hardforum.com/threads/core-i7-860-with-p55-chipset-32gb-ram-support.1845468/","drescherjm","The E3 xeons do not carry that much of price premium versus an i7."
"1595187766-4542","https://hardforum.com/forums/intel-processors.5/","i7-8086k $800?","https://hardforum.com/threads/i7-8086k-800.1997754/","Falkentyne","Yeah it's absurd anyone would even consider listing this for $800.

It costs *less* to buy a whole 10th gen motherboard and a 10600k *AND* a nice clocking set of RAM, than the inflated cost of this processor."
"1595187800-4862","https://hardforum.com/forums/intel-processors.5/","I actually have a 10900k on the way!","https://hardforum.com/threads/i-actually-have-a-10900k-on-the-way.1996645/","SixFootDuo","I am actually going to give some REAL cooling advice that will benefit all of you regardless of  your skill level.



One of the best AIO 360mm water coolers is on-sale for $99. The EVGA CLC 360.




	
		
	


Unbeatable performance and price.



To take this to the next level, add 3 additional high static pressure fans and do a pull push config."
"1595187741-4288","https://hardforum.com/forums/intel-processors.5/","Any still running an overclocked i7 5820k? (haswell-E)","https://hardforum.com/threads/any-still-running-an-overclocked-i7-5820k-haswell-e.1953713/","chrcoluk","haswell is a really nice generation (and haswell-e), I think the IMC was a brilliant idea.



My haswell doing 4.3ghz at 1.176v, although it had a BSOD only 2 days ago so some voltage degradation kicking in now."
"1595187798-4846","https://hardforum.com/forums/intel-processors.5/","Looking to build a new system","https://hardforum.com/threads/looking-to-build-a-new-system.1998903/","RavenX","My current system is an i5 2500k with an nvidia gtx 980 and 8gigs of ram all played on a 1080 monitor.  Been running this setup for a long time and decided it was time to upgrade since I'd like to play the new cyberpunk 2077 game maxed out when it comes out this November.  I understand the recommended specs have not been officially released so all we can do is guesstimate what kind of system will be needed to run smoothly at 2k.   I've recently purchased a new gsync 2k monitor however I have not decided on a video card yet but thinking of either an rtx 2080 or an rtx 30XX when they get released.  I have not kept up with any cpu news for almost the past 10 years, however I do understand the latest Intel chip is the comet lake 14nm i9 10900k.   What would the knowledable members on this forum recommend I go with?  Should I get the 10900k chip, skip them all together and wait for the next gen models intel will be releasing, or should I go the amd ryzen route?  I've never owned an amd chip before, always had intel since my first computer build in the late 90's.  I'd appreciate any and all input.  Thanks."
"1595187804-4935","https://hardforum.com/forums/intel-processors.5/","No excitement about intel's latest offering??","https://hardforum.com/threads/no-excitement-about-intels-latest-offering.1996595/","Denpepe","Iratus said:
			
		
	
	
		
		
			Plus I got really pissed off with Intel over the ridiculous changing of chipset very 6 minutes. Ironic given the next TR's will be the last SP3 chips, but meh it's not a rational purchase.
		
		Click to expand...
	
Well AMD is well on it's way with matching intels shenanigans when it comes to motherboards and CPU compatibility as Ryzen 3 will only run on 500 series mobo's and up. Steve from Gamers nexus has a nice vid about it."
"1595187760-4522","https://hardforum.com/forums/intel-processors.5/","What's the current state of hardware and gaming in terms of hardware?","https://hardforum.com/threads/whats-the-current-state-of-hardware-and-gaming-in-terms-of-hardware.1997498/","daglesj","Just watch Phil's Computer Lab on YouTube and watch all the $10- $40 Ebay CPUs from the last 10 years or more that can average 40-60FPS+ no problem."
"1595187747-4402","https://hardforum.com/forums/intel-processors.5/","i7 5930K, safe voltage with safe temp.","https://hardforum.com/threads/i7-5930k-safe-voltage-with-safe-temp.1834657/","ianken","Necro thread GO!



Here's an odd one. For sundry reasons I had to swap motherboards was running on an X99 Classified. Easy peasy overclock (results above). Enable XMP, set multiplier. Done.



Anyway, moved bits over to Asus Strix X99. All hardware identical, down to the thermal paste (cleaned up and re-applied, of course). Runs 4C hotter idle. ¯\_(ツ)_/¯ 



Of course had to set it all by hand since Asus' ""automatic"" stuff is about as useful as a dead raccoon."
"1595187749-4406","https://hardforum.com/forums/intel-processors.5/","P3 Tualatin RAM","https://hardforum.com/threads/p3-tualatin-ram.866669/","robberbaron","I thought RDRAM was pretty cool. I mean, its cost and the requirement of dual channel sucks, but its bandwidth was way ahead of its time."
"1595187785-4665","https://hardforum.com/forums/intel-processors.5/","Can anybody get me up to speed on the state of the CPU game right now?","https://hardforum.com/threads/can-anybody-get-me-up-to-speed-on-the-state-of-the-cpu-game-right-now.1993202/","Dan_D","t4keheart said:
			
		
	
	
		
		
			Hey everyone,

I haven't built a computer in maybe 10-15 years... since core 2 duo's were a thing and the intel ""i"" series was in 1st/2nd gen. Things get busy and life takes priority.

Anyways, thinking about building another pc. I'm a software dev and I do some gaming... so I'm wondering where the sweet spot is with cpu's these days.



I would like for somebody to give me ""the skinny"" on the current cpu situation.



Main questions:

1) Is it still worth it to always go intel? Is the cost of a mid-high end i-series worth it vs. a comparable performing amd ryzen?

2) Is now a good or bad time to buy/build? Anything new coming out soon that I should wait for?

3) which is the best bang for your buck, mid-high performance offering from both amd and Intel?

4) anything else you think i should take into consideration?



I was thinking of also building a basic server too- something that probably runs ubuntu server that funstions as a nas,  runs plex, maybe hosts some websites, maybe a LAMP testbed... but seeing as how they sell 8 year old dell power edge servers on amazon for 200$, I may just go that route, or just get a synology.
		
		Click to expand...
	
1.) Most people here will say ""no."" However, that's still up for some debate. Some people have had negative experiences with AMD processor based systems due to platform issues and will still go Intel. I will say that there are sometimes additional challenges that you face with AMD platforms, but they aren't insurmountable nor as bad as they were when each chipset was new. Conversely, Intel has far more rampant security problems though its still unknown how good or bad AMD CPU's truly are. Exploits effecting Intel systems sometimes still effect AMD. AMD's architecture isn't as well known and it is likely in whole or in part, an issue of security through obscurity. Meaning we don't know how well Ryzen will ultimately shake out on the security front for months or even years. 



2.) It's a solid time to buy AMD right now. If interested in going Intel, I would wait right now. 



3.) AMD's Ryzen 5 3600 or Ryzen 7 3700X are really the sweet spots for most people. On the Intel side, your looking at the 9600K or the 9700K. On the slightly higher end of that spectrum, the 9900K is also an option. It depends on what your doing as to how much you truly need to spend here. I'm assuming gaming, so best options are the 3700X and 9900K respectively. The AMD being far more bang for your buck. Although, some ground is lost on the expense of a decent X570 motherboard. The cheaper ones are of questionable quality in many cases. 



4.) Not really.








	
		
			
				t4keheart said:
			
		
	
	
		
		
			One of my main concerns is that the current socket is going to be relevant for a couple more years... if it's on it's way out I would consider waiting for the next socket but if this one has some life left in it with some good upgrade paths, that will do! See, I don't even know what the current socket is called! I need to look it up lol
		
		Click to expand...
	
Intel's Z390 chipset and LGA 1151 socket are on their way out. There is no future upgrade path there. AMD's AM4 socket is good through 2020, but we don't really know beyond that. The fact is, AMD has used the same socket for about three years now and its grown from supporting only 8c/16t CPU's to 16c/32t. There are a lot of issues that come with broader CPU support on a single socket and I can get into that if you'd like, but its unlikely that AM4 has a long life ahead of it. Then again, we just don't really know at this point. AMD strives to maintain that compatibility as long as they can, but it creates additional design challenges for them. It also creates challenges for us as consumers."
"1595187791-4762","https://hardforum.com/forums/intel-processors.5/","Core i7-860 with P55 chipset 32GB RAM support","https://hardforum.com/threads/core-i7-860-with-p55-chipset-32gb-ram-support.1845468/","jedimasterben","It's a CPU limitation. If you had a Lynnfield-based Xeon then it would support 32GB, but the Core series does not. Even for Xeons I'm seeing that unbuffered DDR3 is limited to 16GB, but ECC is 32GB."
"1595187770-4560","https://hardforum.com/forums/intel-processors.5/","Intel i3-10100 beats i7-7700K","https://hardforum.com/threads/intel-i3-10100-beats-i7-7700k.1997338/","sirmonkey1985","XoR_ said:
			
		
	
	
		
		
			7700K is the same chip but with higher clocks so it should be faster.
		
		Click to expand...
	
and you'd be correct.. the i3-10100 is about as fast as the AMD R3 3100 and significantly slower than the 3300x when run at the memory specs that B/H400 series boards would be limited to.. if B/H series boards end up not being restricted to the 2666mhz memory limit then going up to 3200mhz add's about 10% which puts it closer to a stock 7700k but still not beating it. the 10300/320 likely won't make much of a difference either, maybe they'll match the 7700k on a z490 board."
"1595187760-4523","https://hardforum.com/forums/intel-processors.5/","What's the current state of hardware and gaming in terms of hardware?","https://hardforum.com/threads/whats-the-current-state-of-hardware-and-gaming-in-terms-of-hardware.1997498/","somebrains","Last leap was 1080ti, we are waiting for a gpu that shifts what's considered a cpu bottleneck bc 4c has been and still is fine.  160fps @ 1440p or 240fps @ 1080p with low graphics settings in an fps is easy to build from multiple routes.  Maintaining dead flat frametime is boring as an exercise."
"1595187779-4588","https://hardforum.com/forums/intel-processors.5/","QuickCPU Power saving - My settings (Relevant for 6xxx/7xxx/8xxx/9xxx/10xxx processors)","https://hardforum.com/threads/quickcpu-power-saving-my-settings-relevant-for-6xxx-7xxx-8xxx-9xxx-10xxx-processors.1996926/","kirbyrj","I have been trying to pay more attention to this in my AMD system sitting here.  It's a little trickier though as there are two numbers in Ryzen Master:  CPU Power (7-10W while browsing generally and 2-3W with nothing running) and SOC Power (pretty steady 12W).



I don't have a way to monitor the wall (might just pick up a kill-a-watt to have an idea)."
"1595187785-4657","https://hardforum.com/forums/intel-processors.5/","Can anybody get me up to speed on the state of the CPU game right now?","https://hardforum.com/threads/can-anybody-get-me-up-to-speed-on-the-state-of-the-cpu-game-right-now.1993202/","RazorWind","t4keheart said:
			
		
	
	
		
		
			I think i'll just go with the DFI- LAN party
		
		Click to expand...
	
Are you joking?  DFI hasn't been around since like 2004 or so."
