web-scraper-order,web-scraper-start-url,threads,threads-href,username,the_post
"1595262096-7036","https://hardforum.com/forums/amd-flavor.87/","RX 5700 Reference needs no modifications.....","https://hardforum.com/threads/rx-5700-reference-needs-no-modifications.1985265/","viivo","viivo said:
			
		
	
	
		
		
			I don't notice much difference after repasting and increasing clamping pressure on my 5700 XT. The stock thermal pad was crooked and not even covering the whole core so I thought there would be an improvement. Undervolted it still hits 70C at ~50% utilization and 40% core clock.



I'm currently modifying the AIO cooler from my old 1070 to fit. Compared to the tiny stock heatsink it can only be a massive upgrade.
		
		Click to expand...
	


Oops, I was mistaken. I've been working with two 5700 XTs and I forgot I still had the unmodified one installed. I just put in the one I took apart and there is a major difference. Highest temperature I've seen so far is 53C. Wish I could do something about the junction/hotspot temps.



Also I found out the auto overclock stuff in Radeon settings is a joke - both cards returned the same 2130 for core and 935 for memory."
"1595262101-7098","https://hardforum.com/forums/amd-flavor.87/","Can't create account on community.amd.com","https://hardforum.com/threads/cant-create-account-on-community-amd-com.1994715/","x509","serial__thrilla said:
			
		
	
	
		
		
			That should be RTX 2060 Super. The card is fast as hell, I have one.
		
		Click to expand...
	
More than I want to spend."
"1595262112-7211","https://hardforum.com/forums/amd-flavor.87/","RX Vega Owners Thread","https://hardforum.com/threads/rx-vega-owners-thread.1941944/","SixFootDuo","Dan said:
			
		
	
	
		
		
			need to sell my 1080, But i bet I wont be able to get my hands on a Vega =[...
		
		Click to expand...
	


Just out of curiosity .... why would you sell your 1080? Nothing wrong if you're a diehard AMD fan or maybe you have an AMD branded PC? They do sell AMD cases, memory, SSD's .. you could have a Ryzen. That all makes sense.



If not, you're not gaining any performance and it's going to cost you more electricity. I would do additional research before you go through all of that. Good luck on whatever you decide."
"1595262092-7022","https://hardforum.com/forums/amd-flavor.87/","Potential GPU Upgrade","https://hardforum.com/threads/potential-gpu-upgrade.1995268/","oldmanbal","5700xt is the best price performance card in years.  Get a 5700 non ref and power table mod it to get 2080 like performance if you don't mind a little noise"
"1595262112-7184","https://hardforum.com/forums/amd-flavor.87/","RX Vega Owners Thread","https://hardforum.com/threads/rx-vega-owners-thread.1941944/","cybereality","noko said:
			
		
	
	
		
		
			Does the box say Premium VR experience on it? 
		
		Click to expand...
	
Yeah, it says something about VR Ready. May hook up my spare Rift and test some games, but I imagine it will be fine since even with the RX 480 it was doing alright."
"1595262127-7359","https://hardforum.com/forums/amd-flavor.87/","Soldering on more and faster RAM onto R9 285X","https://hardforum.com/threads/soldering-on-more-and-faster-ram-onto-r9-285x.1997603/","c3k","Don't listen to the naysayers! We'd still think the earth was flat if everyone did.



Buy the RAM. Show us pix as you solder them on. Then show us performance stats before and after. C'mon. This is [H]: upgrading video ram is part of it."
"1595262127-7348","https://hardforum.com/forums/amd-flavor.87/","Soldering on more and faster RAM onto R9 285X","https://hardforum.com/threads/soldering-on-more-and-faster-ram-onto-r9-285x.1997603/","3dfan","rabidz7, check my answer i quote to your query in the fw900 crt forum, a quick advice is to stay away from cheap untested from that forum members digital to analog adapters, most of them will give poor signal quality and limited to low resolutions and refresh rates, i am using a gtx 1080 ti with fw900 crt via sunix dpu3000 adapter with very good results, and allows me to use monitor high refresh rate and high resolutions, eventhough that adapter seems to become hard to get, however there are alternatives, more info on the mentioned forum, also i personaly believe waiting for a thing such the hd fury 5 is worthless, many people have been waiting for it  for years with no signs of arrival and also if it arrives some day probably will be very expensive, since  HDFURY X4 is about 300 usd, just imagine how expensive would 5 be."
"1595262085-6974","https://hardforum.com/forums/amd-flavor.87/","AMD Radeon ‘Big Navi’ RX Gamma Flagship GPU Specs And Benchmarks Leaked – An Absolute Beast","https://hardforum.com/threads/amd-radeon-big-navi-rx-gamma-flagship-gpu-specs-and-benchmarks-leaked-an-absolute-beast.1994776/","sirmonkey1985","auntjemima said:
			
		
	
	
		
		
			Nevermind. This quote alone tells me this is LOL city and definitely fake.
		
		Click to expand...
	
""GDDR7"" that wasn't obvious enough.  they went that far they might as well of just said it was going to be on TSMC's 5nm process, lol."
"1595262096-7044","https://hardforum.com/forums/amd-flavor.87/","RX 5700 Reference needs no modifications.....","https://hardforum.com/threads/rx-5700-reference-needs-no-modifications.1985265/","viivo","ManofGod said:
			
		
	
	
		
		
			Well, I went ahead and did the mod and sure enough, it made no difference whatsoever. Oh well, just the way it goes but, learn from me if you have a reference RX 5700, do not bother with the mod, just as PontiacGTX said above.
		
		Click to expand...
	
I know it's not necessary for non-XTs, but it should still make some small difference simply because the stock pad sucks. What thermal paste did you use? Did you use thick enough rubber/fiber/plastic/etc. washers on the retention bracket to compensate for the thermal pad?"
"1595262075-6897","https://hardforum.com/forums/amd-flavor.87/","AMD speaks RDNA2, RDNA3, Zen3 and Zen4, announces new roadmaps","https://hardforum.com/threads/amd-speaks-rdna2-rdna3-zen3-and-zen4-announces-new-roadmaps.1993782/","noko","5150Joker said:
			
		
	
	
		
		
			Up to 50% performance/watt gain but how much of that will translate to actual gaming gains? Doesn't seem like a 2080 Ti killer but maybe as fast or slightly faster at best. DXR performance is a big mystery. I don't think this will be competitive with Ampere at the top end and AMD will be forced to price a lot lower with low margins as usual.
		
		Click to expand...
	





	
		
			
				Viper87227 said:
			
		
	
	
		
		
			Kind of my take. They didn't actually talk about performance. Also, they indicated this is coming towards the end of the year. Meaning it's likely AMD could be releasing after ampere. Once again we have AMD trailing and Nvidia open to charge whatever they please.
		
		Click to expand...
	
That performance/watt came from note RX-325:

""RX-325:Testing done by AMD performance labs 6/1/19, using the Division 2 @ 25x14 Ultra settings. Performance may vary based on use of latest drivers, RX-325""



While it is good seeing that is an actual game being used but not much more is indicated. Was it done at the same frame rate? Power level? In other words there is a lot of wiggle room to explain less than 50% 200w RNDA compared to 200w RNDA2 gaming performance. Note the date, 6/1/19, which would seem to be an early engineering sample. Sufficient time to get production cards going I would think, so why don't we see any? My best guess is TSMC capacity which is expected to open more in June. Of course cororavirus can really affect things here."
"1595262075-6916","https://hardforum.com/forums/amd-flavor.87/","AMD speaks RDNA2, RDNA3, Zen3 and Zen4, announces new roadmaps","https://hardforum.com/threads/amd-speaks-rdna2-rdna3-zen3-and-zen4-announces-new-roadmaps.1993782/","noko","sirmonkey1985 said:
			
		
	
	
		
		
			at 899 it would have to be GDDR6.. HBM2e is expensive as fk and AMD likely learned from their mistake with vega/vega 7nm that HBM has no purpose for gaming. now that they've split their consumer card line up from their enterprise lineup the new instinct cards will probably have HBM2e and RDNA 2 cards will probably have 14gbps GDDR6 with hopefully a better memory controller to allow higher memory clock speeds.







consider it more of a proof of concept.. if RDNA 2 actually works and is competitive then they know they're on the right track which makes it much easier to release RDNA 3. no point in swinging for the fences based on rumors with zero context to them.. they just keep throwing around the 50% figure but still have not said whether it's ray tracing or raster performance, for all we know the 3080ti is 50% faster at ray tracing but performs exactly the same as the 2080ti in games that don't support ray tracing.
		
		Click to expand...
	
The AMD 50% perf/watt was based off a real game, Div 2 per note on slide. Since comparison was RNDA vs RNDA2 that would not be with ray tracing anyways."
"1595262109-7160","https://hardforum.com/forums/amd-flavor.87/","Considering a 5600 XT","https://hardforum.com/threads/considering-a-5600-xt.1996724/","Stoly","At this point in time I wouldn't consider anything less than a RTX2070Super"
"1595262112-7212","https://hardforum.com/forums/amd-flavor.87/","RX Vega Owners Thread","https://hardforum.com/threads/rx-vega-owners-thread.1941944/","Magic Hate Ball","SixFootDuo said:
			
		
	
	
		
		
			Just out of curiosity .... why would you sell your 1080? Nothing wrong if you're a diehard AMD fan or maybe you have an AMD branded PC? They do sell AMD cases, memory, SSD's .. you could have a Ryzen. That all makes sense.



If not, you're not gaining any performance and it's going to cost you more electricity. I would do additional research before you go through all of that. Good luck on whatever you decide.
		
		Click to expand...
	
Depends if he's staring at a Freesync screen wishing it would have functional variable refresh rate functioning...."
"1595262136-7416","https://hardforum.com/forums/amd-flavor.87/","AMD RDNA 2 gets ray tracing","https://hardforum.com/threads/amd-rdna-2-gets-ray-tracing.1994287/","Factum","MUCH better link....straight from Microsoft:



https://devblogs.microsoft.com/directx/announcing-directx-12-ultimate/








	
	
		
		
			DirectX Raytracing 1.1

DirectX Raytracing (DXR) brings a new level of graphics realism to video games, previously only achievable in the movie industry. The effects achievable by DXR feel more real, because in a sense they are more real: DXR traces paths of light with true-to-life physics calculations, which is a far more accurate simulation than the heuristics based calculations used previously.



We’ve already seen an unprecedented level of visual quality from titles that use DXR 1.0 since we unveiled it, and built DXR 1.1 in response to developer feedback, giving them even more tools with which to utilize DXR.



DXR 1.1 is an incremental addition over the top of DXR 1.0, adding three major new capabilities:




GPU Work Creation now allows Raytracing. This enables shaders on the GPU to invoke raytracing without an intervening round-trip back to the CPU. This ability is useful for adaptive raytracing scenarios like shader-based culling / sorting / classification / refinement.  Basically, scenarios that prepare raytracing work on the GPU and then immediately spawn it.
Streaming engines can more efficiently load new raytracing shaders as needed when the player moves around the world and new objects become visible.
Inline raytracing is an alternative form of raytracing that gives developers the option to drive more of the raytracing process, as opposed to handling work scheduling entirely to the system (dynamic-shading). It is available in any shader stage, including compute shaders, pixel shaders etc. Both the dynamic-shading and inline forms of raytracing use the same opaque acceleration structures.
When to use inline raytracing

Inline raytracing can be useful for many reasons:




Perhaps the developer knows their scenario is simple enough that the overhead of dynamic shader scheduling is not worthwhile. For example, a well constrained way of calculating shadows.
It could be convenient/efficient to query an acceleration structure from a shader that doesn’t support dynamic-shader-based rays.  Like a compute shader or pixel shader.
It might be helpful to combine dynamic-shader-based raytracing with the inline form. Some raytracing shader stages, like intersection shaders and any hit shaders, don’t even support tracing rays via dynamic-shader-based raytracing.  But the inline form is available everywhere.
Another combination is to switch to the inline form for simple recursive rays.  This enables the app to declare there is no recursion for the underlying raytracing pipeline, given inline raytracing is handling recursive rays.  The simpler dynamic scheduling burden on the system can yield better efficiency.
Scenarios with many complex shaders will run better with dynamic-shader-based raytracing, as opposed to using massive inline raytracing uber-shaders. Meanwhile, scenarios that have a minimal shading complexity and/or very few shaders will run better with inline raytracing.



If the above all seems quite complicated, well, it is! The high-level takeaway is that both the new inline raytracing and the original dynamic-shader-based raytracing are valuable for different purposes. As of DXR 1.1, developers not only have the choice of either approach, but can even combine them both within a single renderer. Hybrid approaches are aided by the fact that both flavors of DXR raytracing share the same acceleration structure format, and are driven by the same underlying traversal state machine.



Best of all, gamers with DX12 Ultimate hardware can be assured that no matter what kind of Raytracing solution the developer chooses to use, they will have a great experience.
		
		Click to expand...
	
Now say after me:



D X R



DirectX RayTracing.



Raytracing is DXR..."
"1595262060-6831","https://hardforum.com/forums/amd-flavor.87/","What is wrong with my curved videocard?","https://hardforum.com/threads/what-is-wrong-with-my-curved-videocard.1992656/","portafreak","Hi,



I have bought a used MSI RX580 OC Armor that worked fine for a couple of weeks until I have noticed that it was overheating while playing (88-90 C).

I have put some new thermal paste and the temperature is back to normal, however for some reason if the card is not installed

at an angle like in the photo, the BIOS will not detect the card. I have the same problem if I put the card in another PC.

The PCB is curved. I made an attempt to straighten it by installing a plexiglass but the card will not be detected (hence the spacers).

I can still play games, but sometime the system will reboot because the card is not detected.

It seems like a bad contact somewhere. I have looked at the card but nothing is suspicious.







Has anybody have any idea what could be wrong? Could it be bad solder under the GPU?




		
			
		
		


<img src=""https://hardforum.com/data/attachment-files/2020/02/273352_ytuqfh79yse41.jpg"" data-url="""" class=""bbImage"" data-zoom-target=""1"" alt=""ytuqfh79yse41.jpg"" style="""" />"
"1595262064-6861","https://hardforum.com/forums/amd-flavor.87/","Powercolor 5700 xt Liquid devil PSA","https://hardforum.com/threads/powercolor-5700-xt-liquid-devil-psa.1993294/","harmattan","Any word from PC or AMD on when a fix will be released?  Crap that  an official Catalyst update locks clocks so low.



On a related note, that card is absolutely bananas (in a good way) -- it comes with a dye kit!? Powercolor's Devil series has always been a favorite of mine."
"1595262123-7306","https://hardforum.com/forums/amd-flavor.87/","Radeon VII prices...","https://hardforum.com/threads/radeon-vii-prices.1996720/","shadowj","How is the card, compared to RTX 2080 Ti ( for 4k gaming )   ?"
"1595262081-6961","https://hardforum.com/forums/amd-flavor.87/","XFX R9-FURY-4QFA RADEON R9 FURY X 4GB","https://hardforum.com/threads/xfx-r9-fury-4qfa-radeon-r9-fury-x-4gb.1994004/","THUMPer","k. This is now your fury thread."
"1595262060-6837","https://hardforum.com/forums/amd-flavor.87/","What is wrong with my curved videocard?","https://hardforum.com/threads/what-is-wrong-with-my-curved-videocard.1992656/","hititnquitit","You say you repasted the gpu. Im going to assume it didnt do this before you put new paste on? Im pretty sure you have it screwed together wrong. Just take it apart again slowly until you see it straighten back out. When it does, thats where you missed a hole or screw."
"1595262064-6863","https://hardforum.com/forums/amd-flavor.87/","Powercolor 5700 xt Liquid devil PSA","https://hardforum.com/threads/powercolor-5700-xt-liquid-devil-psa.1993294/","Smoked Brisket","I wanted to add a couple of things here. I cannot claim that the issues I have had are indicative of all Radeon graphics cards, this is just my experience and maybe it will help others. 



I originally had a reference 5700xt with an ek waterblock that I installed. This was in october and everything worked just fine for the few days I had it running. I was getting hotter than normal temps with the cpu so I thought I had a bad cpu mount and took the loop apart. During this time the Liquid Devil was released and I just could not resist that beautiful block, so I made the purchase. Had some issues with the build not related to hardware so it was some time before I got it reassembled. This is where my issues begin.



I vertically mounted the block, used DDU in safe mode to clean drivers and did a fresh install of the newest adrenaline software/drivers. I got immediate black screens on startup. I thought it could be background apps like steam and epic so I disabled them on startup. Seemed to do the trick so I fired up Outer Worlds and found my clocks locked at 300 mhz and also almost instant game crashes to desktop then quickly followed by black screen. I then did a fresh install of windows installed drivers and again same results. I remembered that I had read some people needing to set PCIE to 3rd gen in bios due to the riser cables not handling the signal. I had paid a premium for riser cables that advertised 4th gen readiness so I hadnt thought that would be a problem. Luckily my bios had that option so I did that and that cured the constant crashing, or so I thought. Launched OW and I was still locked at 300mhz, and I got a crash after a few minutes. I ran AIDA64 stress test and got a hardware failure on the memory test. My memory was stable and stress tested before the AMD 20 drivers. I am not overclocking anything just had vanilla xmp profiles enabled to get advertised speeds. Went into bios disabled xmp profiles and saved. The pc locked up and I could not get a post. Luckily, again, my mobo came with a clear cmos button so I did not have to take the loop apart to access the battery. Clear cmos did the trick, I set fan curve, set pcie to 3rd gen, left memory alone and booted into windows. No crashing, ran Deus Ex and OW and still locked at 300 mhz. I now began the process of running DDU and walking back drivers, which was really annoying, until I found a release that didnt gimp my card. That was 19-12-1. So everything apears to be working fine now, accept for my underclocked ram, but obviously this was not an ideal or great experience. I am actually really disappointed that I cannot use the new adrenaline software because I liked the included ingame overlay and like the idea of a unified suite where I dont need msi afterburner. I want to stress that I cannot say that the new drivers had a hand in my ram suddenly becoming unstable under xmp, but it did happen right after so I had to include it. I also wrote this in hopes that some that are having issues due to riser cables, and don't know it, will now know to set pciex16 to 3rd gen instead of auto in bios. I really hope that AMD fixes the 300mhz bug soon, I do like the software."
"1595262123-7308","https://hardforum.com/forums/amd-flavor.87/","Radeon VII prices...","https://hardforum.com/threads/radeon-vii-prices.1996720/","harmattan","shadowj said:
			
		
	
	
		
		
			Why until November ??
		
		Click to expand...
	
When the RDNA 2 cards are available."
"1595262077-6943","https://hardforum.com/forums/amd-flavor.87/","AMD might detail new RDNA2 graphics card on March 5","https://hardforum.com/threads/amd-might-detail-new-rdna2-graphics-card-on-march-5.1992421/","Auer","jfreund said:
			
		
	
	
		
		
			I'm not ""AMD faithful"", I'm just sick of Nvidia's bullshit.  I have quite a few 10 series cards, but when I replace my 1080Ti, it will be with an AMD card.
		
		Click to expand...
	
Even if nvidia has a better performing option in the same price range?"
"1595262109-7168","https://hardforum.com/forums/amd-flavor.87/","Considering a 5600 XT","https://hardforum.com/threads/considering-a-5600-xt.1996724/","noko","Wow! New games are still coming out with just DX 11  but DX 12 Ultimate that came out this year will make everything that don't support the few features obsolete by the end of this year . Some, I actually do believe, think that somehow Turing will start performing much better in ray tracing and the the 2060 will be pouncing away with RT 2022 games at 200 fps-> Reality is all those features will be virtually worthless for any intensive future game, 6gb way to small and even 8gb will be asking too much, 2080 Super and down . They will depreciate like the cards before them taking up space in a garbage can . Well cards in general may indeed start performing with a form of raytracing much faster than current generation and not even using dedicated RT based fixed function units, Unreal V and/or Crytek game engines which may make those 8gb 5700 way more hot than those 6gb, less bandwidth 2060's.



Anyways next gen for GPU's/Consoles are right around the corner, if you want the newest feature set, that will be a good place to start. Like it is for every generation."
"1595262132-7385","https://hardforum.com/forums/amd-flavor.87/","[Solved] RX 460 Blown Fuse","https://hardforum.com/threads/solved-rx-460-blown-fuse.1992996/","RazorWind","If the core is getting warm, that's not good.  It means your short is likely one of the high side mosfets, which is now directly connecting the 12V input to the GPU VCore rail.  You can check resistance with a multimeter to confirm this.  I bet you see 3 ohms or less."
"1595262098-7063","https://hardforum.com/forums/amd-flavor.87/","Should I pick up an Aorus 5700 XT or should i wait and save for big navi?","https://hardforum.com/threads/should-i-pick-up-an-aorus-5700-xt-or-should-i-wait-and-save-for-big-navi.1995281/","kirbyrj","noko said:
			
		
	
	
		
		
			I wonder how folks drive a car or a motorcycle with all the noise that can happen or use a window A/C unit which is twice if not louder than the 5700 XT reference. Yeah some people do have very sensitive ears, I've spent years in engine rooms, manufacturing with big machines. Calling the 5700 XT ref loud for me I find funny. Yet I still have excellent hearing, what gives??? Those are the best deals I've seen for a 5700 XT. The Anniversary Edition has very good binned GPU's, mine will undervolt and hit 2100mhz (consistently) limited only by the cooler for top speed and then memory bandwidth. The memory does not OC that good -> 910mhz.
		
		Click to expand...
	
The air filter in my computer room is louder than my reference 5700.  And my window mount AC unit in the summer definitely is louder by a lot.



To the OP's question, if we knew when Big Navi was launching, we would have a better idea how to answer you."
"1595262090-7011","https://hardforum.com/forums/amd-flavor.87/","Help me pick out a 5600 XT card","https://hardforum.com/threads/help-me-pick-out-a-5600-xt-card.1994184/","x509","cyclone3d said:
			
		
	
	
		
		
			I keep seeing this thread and the first time I saw it, it made me immediately think of a Geforce FX 5600 XT.



That's the one you want, right?



https://www.techpowerup.com/gpu-specs/geforce-fx-5600-xt.c589
		
		Click to expand...
	
No, actually its an AMD Radeon RX 5600-XT.  But I have read enough bad reports on the drivers for this card that I have decided to go with an nVidia card.  Now I'm trying to decide between a 1650, 1660, and maybe the 2060.  I am not a gamer, but as I said in my OP, I do a lot with Adobe Lightroom and Photoshop."
"1595262127-7352","https://hardforum.com/forums/amd-flavor.87/","Soldering on more and faster RAM onto R9 285X","https://hardforum.com/threads/soldering-on-more-and-faster-ram-onto-r9-285x.1997603/","JMCB","Lets say it did work, your performance would eventually be bottlenecked by the GPU. Just doesn't seem worth it."
"1595262055-6809","https://hardforum.com/forums/amd-flavor.87/","Help with ASUS RX550 2G (driver problems)","https://hardforum.com/threads/help-with-asus-rx550-2g-driver-problems.1992634/","NiemandGekusst","pendragon1 said:
			
		
	
	
		
		
			what he said^^^. you cant get anything on screen in normal mode so you cant really do anything with it. you can try a hail-mary-bios-flash but the card is dying. rma it.

i did.
		
		Click to expand...
	
Well I can get signal in normal mode, using the microsoft drivers, my cpu doesnt have a built in gpu so the gpu is still rendering stuff"
"1595262060-6845","https://hardforum.com/forums/amd-flavor.87/","What is wrong with my curved videocard?","https://hardforum.com/threads/what-is-wrong-with-my-curved-videocard.1992656/","cyclone3d","oldmanbal said:
			
		
	
	
		
		
			Decent ones at least 
		
		Click to expand...
	
Yeah.. no backplate then they are a hard pass. That was my point."
"1595262060-6838","https://hardforum.com/forums/amd-flavor.87/","What is wrong with my curved videocard?","https://hardforum.com/threads/what-is-wrong-with-my-curved-videocard.1992656/","viivo","Westwood Arrakis said:
			
		
	
	
		
		
			I think I recall seeing someone using a pencil. XD
		
		Click to expand...
	
https://hardforum.com/threads/post-your-ghetto-mod-pics.896218/page-70#post-1043738310"
"1595262109-7159","https://hardforum.com/forums/amd-flavor.87/","Considering a 5600 XT","https://hardforum.com/threads/considering-a-5600-xt.1996724/","pendragon1","XoR_ said:
			
		
	
	
		
		
			View attachment 246330
		
		Click to expand...
	
yes by your guys' logic ps5 doesnt support every next-gen feature, dx12 ult, so its obsolete out of the gate. just using your logic..."
"1595262090-7002","https://hardforum.com/forums/amd-flavor.87/","Help me pick out a 5600 XT card","https://hardforum.com/threads/help-me-pick-out-a-5600-xt-card.1994184/","pendragon1","jesus, not everyone is having the drivers issues. mine were only a blip for one driver release, some had no issues at all. also, people have been having issue with the new nv driver, better never buy nv again right?!






	
		
			
				whateverer said:
			
		
	
	
		
		
			Yeah, until AMD resolves the driver issue, buying Navi anything is a pointless exercise.  Get the RTX 2060, and enjoy your stable driver.  Price and performance are identical.R
		
		Click to expand..."
